signal_date,stage,board,samples,hits
20220317,3.0,SH_MAIN,2,1.0
20220317,3.0,SZ_MAIN,3,3.0
20220318,2.0,SH_MAIN,4,3.0
20220318,2.0,SZ_MAIN,4,3.0
20220318,3.0,SH_MAIN,3,3.0
20220318,3.0,SZ_MAIN,4,2.0
20220321,2.0,SH_MAIN,11,2.0
20220321,2.0,SZ_MAIN,11,5.0
20220321,3.0,SH_MAIN,3,1.0
20220321,3.0,SZ_MAIN,3,2.0
20220322,2.0,SH_MAIN,6,1.0
20220322,2.0,SZ_MAIN,8,1.0
20220322,3.0,SH_MAIN,2,1.0
20220322,3.0,SZ_MAIN,5,3.0
20220323,2.0,SH_MAIN,6,4.0
20220323,2.0,SZ_MAIN,1,0.0
20220323,3.0,SH_MAIN,1,0.0
20220323,3.0,SZ_MAIN,1,1.0
20220324,2.0,SZ_MAIN,5,2.0
20220324,3.0,SH_MAIN,4,1.0
20220325,2.0,SH_MAIN,7,2.0
20220325,2.0,SZ_MAIN,3,1.0
20220325,3.0,SZ_MAIN,2,1.0
20220328,2.0,SH_MAIN,5,2.0
20220328,2.0,SZ_MAIN,6,2.0
20220328,3.0,SH_MAIN,2,2.0
20220328,3.0,SZ_MAIN,1,1.0
20220329,2.0,SH_MAIN,2,1.0
20220329,2.0,SZ_MAIN,4,2.0
20220329,3.0,SH_MAIN,2,1.0
20220329,3.0,SZ_MAIN,2,2.0
20220330,2.0,SH_MAIN,1,0.0
20220330,2.0,SZ_MAIN,6,4.0
20220330,3.0,SH_MAIN,1,0.0
20220330,3.0,SZ_MAIN,2,1.0
20220331,2.0,SH_MAIN,1,0.0
20220331,2.0,SZ_MAIN,7,5.0
20220331,3.0,SZ_MAIN,4,1.0
20220401,2.0,SH_MAIN,2,1.0
20220401,2.0,SZ_MAIN,8,4.0
20220401,3.0,SZ_MAIN,5,5.0
20220406,2.0,SH_MAIN,7,0.0
20220406,2.0,SZ_MAIN,5,1.0
20220406,3.0,SH_MAIN,1,0.0
20220406,3.0,SZ_MAIN,4,2.0
20220407,2.0,SH_MAIN,1,1.0
20220407,2.0,SZ_MAIN,4,3.0
20220407,3.0,SZ_MAIN,1,1.0
20220408,2.0,SH_MAIN,3,1.0
20220408,2.0,SZ_MAIN,5,1.0
20220408,3.0,SH_MAIN,1,1.0
20220408,3.0,SZ_MAIN,3,1.0
20220411,2.0,SH_MAIN,7,4.0
20220411,2.0,SZ_MAIN,3,0.0
20220411,3.0,SH_MAIN,1,0.0
20220411,3.0,SZ_MAIN,1,1.0
20220412,2.0,SH_MAIN,8,3.0
20220412,2.0,SZ_MAIN,5,4.0
20220412,3.0,SH_MAIN,4,2.0
20220413,2.0,SH_MAIN,3,0.0
20220413,2.0,SZ_MAIN,4,3.0
20220413,3.0,SH_MAIN,3,2.0
20220413,3.0,SZ_MAIN,4,1.0
20220414,2.0,SH_MAIN,4,1.0
20220414,2.0,SZ_MAIN,4,1.0
20220414,3.0,SZ_MAIN,3,0.0
20220415,2.0,SH_MAIN,3,1.0
20220415,2.0,SZ_MAIN,4,1.0
20220415,3.0,SH_MAIN,1,0.0
20220415,3.0,SZ_MAIN,1,0.0
20220418,2.0,SH_MAIN,5,3.0
20220418,2.0,SZ_MAIN,4,1.0
20220418,3.0,SH_MAIN,1,1.0
20220418,3.0,SZ_MAIN,1,1.0
20220419,2.0,SH_MAIN,5,2.0
20220419,2.0,SZ_MAIN,3,1.0
20220419,3.0,SH_MAIN,3,2.0
20220419,3.0,SZ_MAIN,1,0.0
20220420,2.0,SH_MAIN,5,1.0
20220420,2.0,SZ_MAIN,4,1.0
20220420,3.0,SH_MAIN,2,0.0
20220420,3.0,SZ_MAIN,1,1.0
20220421,2.0,SH_MAIN,4,2.0
20220421,2.0,SZ_MAIN,4,1.0
20220421,3.0,SH_MAIN,1,0.0
20220421,3.0,SZ_MAIN,1,0.0
20220422,2.0,SH_MAIN,4,0.0
20220422,2.0,SZ_MAIN,4,1.0
20220422,3.0,SH_MAIN,2,1.0
20220422,3.0,SZ_MAIN,1,1.0
20220425,2.0,SH_MAIN,5,2.0
20220425,2.0,SZ_MAIN,1,1.0
20220425,3.0,SZ_MAIN,1,0.0
20220426,2.0,SH_MAIN,1,1.0
20220426,2.0,SZ_MAIN,2,0.0
20220426,3.0,SH_MAIN,2,1.0
20220426,3.0,SZ_MAIN,1,1.0
20220427,2.0,SH_MAIN,2,0.0
20220427,2.0,SZ_MAIN,8,6.0
20220427,3.0,SH_MAIN,1,0.0
20220428,2.0,SH_MAIN,5,1.0
20220428,2.0,SZ_MAIN,7,3.0
20220428,3.0,SZ_MAIN,6,5.0
20220429,2.0,SH_MAIN,5,1.0
20220429,2.0,SZ_MAIN,12,3.0
20220429,3.0,SH_MAIN,1,0.0
20220429,3.0,SZ_MAIN,3,1.0
20220505,2.0,SH_MAIN,13,3.0
20220505,2.0,SZ_MAIN,17,7.0
20220505,3.0,SH_MAIN,1,1.0
20220505,3.0,SZ_MAIN,3,2.0
20220506,2.0,SH_MAIN,9,3.0
20220506,2.0,SZ_MAIN,4,1.0
20220506,3.0,SH_MAIN,3,2.0
20220506,3.0,SZ_MAIN,7,4.0
20220509,2.0,SH_MAIN,1,1.0
20220509,2.0,SZ_MAIN,8,5.0
20220509,3.0,SH_MAIN,3,1.0
20220509,3.0,SZ_MAIN,1,1.0
20220510,2.0,SH_MAIN,9,5.0
20220510,2.0,SZ_MAIN,10,7.0
20220510,3.0,SH_MAIN,1,1.0
20220510,3.0,SZ_MAIN,5,2.0
20220511,2.0,SH_MAIN,4,2.0
20220511,2.0,SZ_MAIN,6,2.0
20220511,3.0,SH_MAIN,5,0.0
20220511,3.0,SZ_MAIN,7,4.0
20220512,2.0,SH_MAIN,1,0.0
20220512,2.0,SZ_MAIN,4,3.0
20220512,3.0,SH_MAIN,2,1.0
20220512,3.0,SZ_MAIN,2,2.0
20220513,2.0,SH_MAIN,6,3.0
20220513,2.0,SZ_MAIN,12,4.0
20220513,3.0,SZ_MAIN,3,2.0
20220516,2.0,SH_MAIN,10,0.0
20220516,2.0,SZ_MAIN,10,3.0
20220516,3.0,SH_MAIN,3,1.0
20220516,3.0,SZ_MAIN,4,2.0
20220517,2.0,SH_MAIN,2,0.0
20220517,2.0,SZ_MAIN,4,1.0
20220517,3.0,SZ_MAIN,3,2.0
20220518,2.0,SH_MAIN,5,3.0
20220518,2.0,SZ_MAIN,10,6.0
20220518,3.0,SZ_MAIN,1,1.0
20220519,2.0,SH_MAIN,1,0.0
20220519,2.0,SZ_MAIN,11,2.0
20220519,3.0,SH_MAIN,3,1.0
20220519,3.0,SZ_MAIN,6,3.0
20220520,2.0,SH_MAIN,3,3.0
20220520,2.0,SZ_MAIN,6,2.0
20220520,3.0,SZ_MAIN,2,1.0
20220523,2.0,SH_MAIN,6,2.0
20220523,2.0,SZ_MAIN,8,2.0
20220523,3.0,SH_MAIN,3,2.0
20220523,3.0,SZ_MAIN,2,1.0
20220524,2.0,SH_MAIN,3,2.0
20220524,2.0,SZ_MAIN,6,3.0
20220524,3.0,SH_MAIN,2,1.0
20220524,3.0,SZ_MAIN,2,1.0
20220525,2.0,SH_MAIN,4,1.0
20220525,2.0,SZ_MAIN,8,2.0
20220525,3.0,SH_MAIN,2,1.0
