ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
001326.SZ,20260609,5.9236,6.8192,0.69,495051.6,
300660.SZ,20260609,2.1968,5.9621,1.12,1974599.7083,
300254.SZ,20260609,10.2836,10.5288,1.52,258619.1486,
002913.SZ,20260609,2.3453,7.3751,0.78,1659160.7149,
301469.SZ,20260609,2.108,4.2155,0.82,267992.6,
002792.SZ,20260609,8.6309,10.5355,0.97,2081724.3832,
002945.SZ,20260609,0.2393,2.3926,0.76,3696300.0,
600439.SH,20260609,5.4965,8.291,0.8,280732.3891,
301396.SZ,20260609,7.6446,10.1162,0.94,3567747.779,
920080.BJ,20260609,2.1008,2.1008,0.89,197955.0,
002195.SZ,20260609,2.247,2.4927,1.06,4145175.4828,
301172.SZ,20260609,5.7645,7.3743,1.04,525891.52,
002656.SZ,20260609,0.8475,1.0624,0.7,241544.2271,
300898.SZ,20260609,2.001,3.3515,0.64,252340.0,
600745.SH,20260609,4.3824,5.5923,1.04,2473159.6516,
600153.SH,20260609,1.0602,1.9925,1.43,2699470.391,
603839.SH,20260609,1.7555,6.6287,1.14,253108.5948,
920942.BJ,20260609,2.3211,2.9278,0.65,135962.1807,
600354.SH,20260609,2.2783,3.189,0.88,278679.4982,
300557.SZ,20260609,7.4827,14.2689,1.32,484269.2388,
603956.SH,20260609,3.5512,6.3231,1.26,274694.8299,
603927.SH,20260609,0.8221,1.2355,0.95,1238249.6,
600105.SH,20260609,10.702,14.0583,0.83,8318750.4234,
600182.SH,20260609,0.8307,0.8307,0.93,466140.0,
603103.SH,20260609,3.9749,31.2995,1.44,1445976.0,
002117.SZ,20260609,1.1024,1.5942,0.67,493868.8606,
001316.SZ,20260609,1.5647,4.3219,0.99,540052.4814,
002623.SZ,20260609,2.5934,4.8256,0.85,362094.6875,
603040.SH,20260609,2.0883,4.5261,0.82,1253756.7724,
001333.SZ,20260609,6.9982,6.9982,1.58,279680.0,
000528.SZ,20260609,1.6701,2.2566,1.05,1784379.3252,
600232.SH,20260609,1.3033,2.6197,0.68,256761.855,
688787.SH,20260609,12.8814,19.421,2.45,953017.1936,
003017.SZ,20260609,1.5779,1.8748,0.66,223944.0,
603038.SH,20260609,2.1373,3.6728,1.08,424509.8275,
300876.SZ,20260609,5.2129,7.9934,1.16,243260.0864,
688502.SH,20260609,3.3874,9.2267,1.04,2390276.0999,
001365.SZ,20260609,9.3991,9.3991,0.71,2189250.0,
600808.SH,20260609,1.0793,2.883,1.12,2079183.9202,
002758.SZ,20260609,1.3606,2.4304,1.4,406741.1592,
